贺岁片,#genre#
你好，李焕英(TC清晰版),https://wy.bigmao.top/api/GetDownUrlMu/d273758be9f14821ab72792c80e0b3e2/9268baef09e1411e8f8ae592012b24b1.m3u8#https://n1.szjal.cn/20210215/N2j3yIPY/index.m3u8
唐人街探案3(TC清晰版),https://wy.bigmao.top/api/GetDownUrlMu/d273758be9f14821ab72792c80e0b3e2/e3baa662a11646ab87c6038e0475ab61.m3u8#https://youku.cdn34-okzy.com/20210215/24_fd0972fe/index.m3u8
侍神令(TC版),https://n1.szjal.cn/20210215/TzzSdYyG/index.m3u8#https://wy.bigmao.top/api/GetDownUrlMu/d273758be9f14821ab72792c80e0b3e2/0bf0223c25fb4bb8a2d08bc7afcbd387.m3u8
人潮汹涌(TC版),https://n1.monidai.com/20210220/1C46GpTF/index.m3u8#http://youku.cdn34-okzy.com/20210220/70_73732f23/index.m3u8

央视,#genre#
CCTV-1高清,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv1#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8#http://dbiptv.sn.chinamobile.com/88888893/16/20210205/274882666/1.m3u8#http://125.210.152.10:8060/live/CCTV1HD_H265.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2财经,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv2#http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226024/index.m3u8
CCTV-3综艺,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv3#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://125.210.152.10:8060/live/CCTV3HD_H265.m3u8
CCTV-4国际,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv4#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5体育,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv5#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://125.210.152.10:8060/live/CCTV5HD_H265.m3u8
CCTV-5?体育,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv5plus#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225689/index.m3u8
CCTV-6电影,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv6#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8#http://125.210.152.10:8060/live/CCTV6HD_H265.m3u8
CCTV-7军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8#http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv7#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8电视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv8#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8#http://125.210.152.10:8060/live/CCTV8HD_H265.m3u8
CCTV-9纪录,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv9#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10科教,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv10#http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11戏曲,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv11#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12社会,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv12#http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13新闻,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv13#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14少儿,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv14#http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15音乐,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv15#http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
